index,NOMBRE_ENTIDAD
0,Tena
1,Roldanillo
2,Santa Rosa - Cauca
3,Aipe
4,Dibulla
5,Funes
6,Paipa
7,Instituto de Deportes del Departamento Norte de Santander
8,Amalfi
9,E.S.E. Hospital Regional Sur Oriental
10,El Rosal
11,E.S.E. Hospital San Antonio - Guatavita
12,Nátaga
13,Lejanías
14,Villeta
15,Ricaurte - Cundinamarca
16,Pueblo Bello
17,Caicedo
18,Tocaima
19,Santiago de Cali
20,San Mateo
21,Ipiales
22,La Paz (Robles) - Cesar
23,Armero - Guayabal
24,El Peñol - Nariño
25,E.S.E. Hospital San Rafael - El Cerrito
26,E.S.P. Aguas del Carmelo S.A.
27,San Roque
28,El Espino
29,Operadora Distrital de Transporte S.A.S.
30,Fuente de Oro
31,Madrid - Cundinamarca
32,Restrepo - Valle del Cauca
33,Baranoa
34,Elías
35,Sibundoy
37,E.S.E. Hospital Antonio Roldan la Pintada
38,Soacha
39,Ponedera
40,Puerto Wilches
41,San Juan de Arama
42,E.S.E. Centro de Salud Giovani Cristini - Carmen de Bolívar
44,Apulo - Rafael Reyes
45,Barbosa - Santander
46,E.S.P. Electrificadora Santander S.A.
47,Chaguaní
48,Pamplonita
49,E.S.E. Hospital Santa Rosa - Tenjo
50,Hato Corozal
51,Buenavista - Quindío
52,Fresno
53,E.S.E. Hospital Universitario del Caribe
54,E.S.E. San José - San Bernardo del Viento
55,Sincelejo
56,E.S.E. Hospital Local de Cubarral
57,Tasco
58,"Departamento del Archipiélago de San Andrés, Providencia y Santa Catalina"
59,E.S.E. Bellosalud
60,Colegio Nacional de Bacteriología
61,El Paso
62,E.S.E. Centro de Salud Cartagena de Indias
63,E.S.E. Hospital Local - Mahates (Bolívar)
64,E.S.E. Hospital San Rafael - Venecia
65,Girardot
66,E.S.P. Empresas del Pueblo y para el Pueblo de Gigante S.A.
67,E.S.E. Hospital San Roque
69,Puerto Boyacá
70,Departamento de la Guajira
71,E.S.E. Hospital Olaya Herrera - Gamarra
72,E.S.E. Hospital Gustavo González - San Andrés
73,E.S.P Empresa de Acueducto Alcantarillado y Aseo de Sampués
74,La Plata
76,Neiva
78,E.S.E. Hospital Materno Infantil - Vijes (Valle)
79,Liborina
80,Bucarasica
81,San Luis - Antioquia
82,Universidad de Antioquia
83,E.S.P. de Sácama S.A.
84,El Guacamayo
85,Leticia
88,Puerto Lleras
89,Riohacha
90,"Somos Sistema Operativo de Movilidad, Oriente Sostenible S.A.S"
92,San Juan de Pasto
94,Venecia - Cundinamarca
95,Rioviejo
96,El Carmen de Chucurí
97,Socha
98,Guayabetal
99,San Bernardo del Viento
100,E.S.P. de Guatavita S.A.
101,Versalles
